language,language_name,training_status,label,f1_finetuned,f1_base,f1_delta
eng,English,trained,anger,0.6896551724137931,0.45454545454545453,0.23510971786833862
eng,English,trained,disgust,0.0,0.0,0.0
eng,English,trained,fear,0.7472527472527473,0.0625,0.6847527472527473
eng,English,trained,joy,0.6909090909090909,0.47619047619047616,0.21471861471861475
eng,English,trained,sadness,0.7631578947368421,0.20512820512820512,0.558029689608637
eng,English,trained,surprise,0.7096774193548387,0.4888888888888889,0.22078853046594987
swa,Swahili,trained,anger,0.21153846153846154,0.11965811965811966,0.09188034188034187
swa,Swahili,trained,disgust,0.208,0.18106995884773663,0.026930041152263356
swa,Swahili,trained,fear,0.1,0.0,0.1
swa,Swahili,trained,joy,0.5095890410958904,0.37681159420289856,0.13277744689299187
swa,Swahili,trained,sadness,0.2631578947368421,0.06666666666666667,0.19649122807017544
swa,Swahili,trained,surprise,0.34759358288770054,0.2927835051546392,0.054810077733061346
ukr,Ukrainian,trained,anger,0.45454545454545453,0.17777777777777778,0.2767676767676768
ukr,Ukrainian,trained,disgust,0.25,0.12643678160919541,0.12356321839080459
ukr,Ukrainian,trained,fear,0.6582278481012658,0.5833333333333334,0.07489451476793241
ukr,Ukrainian,trained,joy,0.5454545454545454,0.28346456692913385,0.26198997852541156
ukr,Ukrainian,trained,sadness,0.5873015873015873,0.38202247191011235,0.20527911539147498
ukr,Ukrainian,trained,surprise,0.5079365079365079,0.2222222222222222,0.2857142857142857
deu,German,zero-shot,anger,0.5217391304347826,0.44680851063829785,0.07493061979648474
deu,German,zero-shot,disgust,0.12121212121212122,0.4351145038167939,-0.3139023826046727
deu,German,zero-shot,fear,0.2777777777777778,0.0,0.2777777777777778
deu,German,zero-shot,joy,0.5984251968503937,0.37254901960784315,0.2258761772425506
deu,German,zero-shot,sadness,0.5066666666666667,0.368,0.13866666666666672
deu,German,zero-shot,surprise,0.31746031746031744,0.18497109826589594,0.1324892191944215
ptbr,Brazilian Portuguese,zero-shot,anger,0.5376344086021505,0.20155038759689922,0.33608402100525125
ptbr,Brazilian Portuguese,zero-shot,disgust,0.0,0.05970149253731343,-0.05970149253731343
ptbr,Brazilian Portuguese,zero-shot,fear,0.2222222222222222,0.0,0.2222222222222222
ptbr,Brazilian Portuguese,zero-shot,joy,0.7155963302752294,0.33112582781456956,0.38447050246065984
ptbr,Brazilian Portuguese,zero-shot,sadness,0.5384615384615384,0.25,0.28846153846153844
ptbr,Brazilian Portuguese,zero-shot,surprise,0.3595505617977528,0.27586206896551724,0.08368849283223556
yor,Yoruba,zero-shot,anger,0.05555555555555555,0.05,0.00555555555555555
yor,Yoruba,zero-shot,disgust,0.0,0.06651884700665188,-0.06651884700665188
yor,Yoruba,zero-shot,fear,0.1111111111111111,0.0,0.1111111111111111
yor,Yoruba,zero-shot,joy,0.041666666666666664,0.0,0.041666666666666664
yor,Yoruba,zero-shot,sadness,0.12779552715654952,0.0,0.12779552715654952
yor,Yoruba,zero-shot,surprise,0.24561403508771928,0.14397496087636932,0.10163907421134996
