scope,epoch,macro_f1_mean,macro_f1_std,n_seeds
trained_mean,1,0.4038251406718392,0.03578597046862512,5
trained_mean,2,0.46708959148333073,0.015264363085152794,5
trained_mean,3,0.46982158420957054,0.014888025749703469,5
trained_mean,4,0.471867222975806,0.017395718754623313,5
eng,1,0.5692229590732244,0.025493044162295777,5
eng,2,0.6004780300143062,0.017783240586326948,5
eng,3,0.6032441154228737,0.016021062723870886,5
eng,4,0.6045325047453678,0.013804149780434106,5
swa,1,0.1947061481537432,0.06608092229031176,5
swa,2,0.2749145173796209,0.015189545227121152,5
swa,3,0.28236495791181204,0.02224450267499986,5
swa,4,0.2823083427611809,0.022330548856098545,5
ukr,1,0.44754631478855006,0.054726291914398116,5
ukr,2,0.5258762270560654,0.0412514529214872,5
ukr,3,0.5238556792940259,0.03622751024896271,5
ukr,4,0.5287608214208694,0.04163209864010197,5
